,duration,Text,InteractionType,ID,time,segment,InteractionType1
99,8,Armsdealing 69,Draging,Armsdealing 69,465.3,1,4
100,12170,Armsdealing 69,Doc_open,Armsdealing 69,467.1,1,5
101,38,Armsdealing 69,Reading,Armsdealing 69,467.2,2,6
102,15,Armsdealing 72,Reading,Armsdealing 72,471.0,2,6
103,108,Armsdealing 69,Reading,Armsdealing 69,472.7,2,6
105,5,Armsdealing 72,Reading,Armsdealing 72,483.6,2,6
106,5,Armsdealing 72,Reading,Armsdealing 72,485.2,2,6
107,31,Armsdealing 69,Reading,Armsdealing 69,485.3,2,6
108,367,Armsdealing 69,Reading,Armsdealing 69,488.7,2,6
110,5,Armsdealing 72,Reading,Armsdealing 72,525.4,2,6
111,5,Armsdealing 72,Reading,Armsdealing 72,535.8,2,6
112,8,Armsdealing 69,Reading,Armsdealing 69,536.1,2,6
113,18,Armsdealing 69,Reading,Armsdealing 69,537.1,2,6
114,5,Armsdealing 72,Reading,Armsdealing 72,539.1,2,6
115,5,Armsdealing 72,Reading,Armsdealing 72,543.3,2,6
116,13,Armsdealing 69,Reading,Armsdealing 69,543.4,2,6
117,5,Armsdealing 72,Reading,Armsdealing 72,544.7,2,6
118,5,Armsdealing 72,Reading,Armsdealing 72,547.2,2,6
119,62,Armsdealing 69,Reading,Armsdealing 69,547.6,2,6
120,7,Armsdealing 69,Draging,Armsdealing 69,551.9,2,4
121,9,Armsdealing 90,Mouse_hover,Armsdealing 90,554.2,2,1
122,35,Armsdealing 92,Mouse_hover,Armsdealing 92,555.2,2,1
123,10,Armsdealing 91,Mouse_hover,Armsdealing 91,558.7,2,1
124,5,Armsdealing 69,Reading,Armsdealing 69,559.7,2,6
125,25,Armsdealing 4,Mouse_hover,Armsdealing 4,562.1,2,1
126,6,Armsdealing 5,Mouse_hover,Armsdealing 5,564.6,2,1
127,8,Armsdealing 4,Mouse_hover,Armsdealing 4,565.2,2,1
129,62,Armsdealing 4,Doc_open,Armsdealing 4,566.1,2,5
130,36,Armsdealing 5,Mouse_hover,Armsdealing 5,574.3,2,1
131,93,Armsdealing 4,Mouse_hover,Armsdealing 4,577.9,2,1
133,11,Armsdealing 5,Mouse_hover,Armsdealing 5,589.7,2,1
134,40,Armsdealing 5,Mouse_hover,Armsdealing 5,591.3,2,1
135,11,Armsdealing 6,Mouse_hover,Armsdealing 6,595.3,2,1
136,10,Armsdealing 7,Mouse_hover,Armsdealing 7,596.4,2,1
137,62,Armsdealing 6,Doc_open,Armsdealing 6,598.0,2,5
140,37,Armsdealing 69,Reading,Armsdealing 69,607.6,2,6
141,17,Armsdealing 69,Reading,Armsdealing 69,612.6,2,6
